level,method,data,time,memory,total_memory
1,'Conjugate Gradient','Planck Data',2.876,0.615,0.615
1,'Conjugate Gradient','Random Data',2.176,0.572,0.572
1,'Sylvester Equation','Planck Data',3.313,0.609,0.609
1,'Sylvester Equation','Random Data',3.922,0.552,0.552
2,'Conjugate Gradient','Planck Data',6.777,1.542,1.542
2,'Conjugate Gradient','Random Data',5.43,1.316,1.316
2,'Sylvester Equation','Planck Data',4.710,1.032,1.032
2,'Sylvester Equation','Random Data',5.069,1.023,1.023
3,'Conjugate Gradient','Planck Data',16.987,2.806,5.305
3,'Conjugate Gradient','Random Data',13.676,1.810,4.319
3,'Sylvester Equation','Planck Data',11.501,1.100,3.354
3,'Sylvester Equation','Random Data',8.950,1.076,3.383
4,'Conjugate Gradient','Planck Data',47.009,4.516,24.499
4,'Conjugate Gradient','Random Data',31.732,1.968,17.030
4,'Sylvester Equation','Planck Data',11.501,2.418,12.056
4,'Sylvester Equation','Random Data',8.950,3.096,10.557
5,'Conjugate Gradient','Planck Data',113.162,6.652,96.260
5,'Conjugate Gradient','Random Data',66.272,4.880,66.446
5,'Sylvester Equation','Planck Data',23.558,3.006,33.378
5,'Sylvester Equation','Random Data',32.834,4.502,40.373
6,'Conjugate Gradient','Planck Data',374.143,16.386,385.947
6,'Conjugate Gradient','Random Data',295.894,14.889,316.199
6,'Sylvester Equation','Planck Data',159.481,14.885,210.955
6,'Sylvester Equation','Random Data',97.409,14.881,157.636
7,'Conjugate Gradient','Planck Data',1574.457,62.343,1550.426
7,'Conjugate Gradient','Random Data',1191.593,62.346,1289.109
7,'Sylvester Equation','Planck Data',377.765,62.348,645.994
7,'Sylvester Equation','Random Data',489.172,62.340,756.723
8,'Conjugate Gradient','Planck Data',10260.18,237.151,6153.557
8,'Conjugate Gradient','Random Data',10006.086,237.160,5754.462
8,'Sylvester Equation','Planck Data',1566.114,237.152,2535.633
8,'Sylvester Equation','Random Data',2026.547,237.158,2976.543
9,'Conjugate Gradient','Planck Data',53972.078,1108.250,24772.082
9,'Conjugate Gradient','Random Data',48300.501,1108.259,23151.396
9,'Sylvester Equation','Planck Data',8042.352,1012.256,10300.152
9,'Sylvester Equation','Random Data',10733.038,1012.257,12039.508
10,'Conjugate Gradient','Planck Data',422819.917,4623.5783,98317.351
10,'Conjugate Gradient','Random Data',426981.524,4625.576,105623.402
10,'Sylvester Equation','Planck Data',70930.965,4623.579,46957.438
10,'Sylvester Equation','Random Data',85438.139,4623.570,47351.516
